country,year,sex,list,agf,cause,SDR1976,SDR2013,SDR1976_0_14,SDR1976_15_39,SDR1976_40_64,SDR1976_65p,SDR2013_0_14,SDR2013_15_39,SDR2013_40_64,SDR2013_65p
BLR,1965,1,short,1,0,11669,18740,3042,2157,10290,63199,2701,2226,10676,72006
BLR,1965,1,short,1,1,768,954,126,267,1252,2240,112,282,1284,2147
BLR,1965,1,short,1,2,1831,2551,85,233,2701,7880,82,244,2814,7794
BLR,1965,1,short,1,3,15,17,9,9,22,28,8,9,23,25
BLR,1965,1,short,1,4,23,32,7,9,20,110,6,9,21,108
BLR,1965,1,short,1,5,22,30,7,13,27,67,6,14,28,79
BLR,1965,1,short,1,6,99,114,67,75,104,228,64,76,105,231
BLR,1965,1,short,1,7,3111,5806,43,281,1982,21536,44,292,2068,25720
BLR,1965,1,short,1,8,1347,2529,0,41,824,9719,0,44,869,11405
BLR,1965,1,short,1,9,202,396,0,4,101,1529,0,5,106,1840
BLR,1965,1,short,1,10,1436,2323,948,40,908,8388,820,42,959,9526
BLR,1965,1,short,1,11,1124,2116,94,29,582,8247,81,31,619,9672
BLR,1965,1,short,1,12,366,500,154,68,471,1429,134,71,487,1503
BLR,1965,1,short,1,13,30,43,6,11,39,112,6,11,41,125
BLR,1965,1,short,1,14,152,239,10,58,146,751,9,59,149,868
BLR,1965,1,short,1,15,251,157,1140,1,0,0,981,1,0,0
BLR,1965,1,short,1,16,891,935,348,1018,1110,935,346,1038,1103,963
BLR,1966,1,short,1,0,11526,18427,2951,2126,10336,62048,2617,2190,10723,70447
BLR,1966,1,short,1,1,698,862,125,221,1160,2016,111,233,1186,1923
BLR,1966,1,short,1,2,1808,2539,108,169,2647,7982,107,178,2757,7916
BLR,1966,1,short,1,3,16,18,13,7,23,32,13,7,23,30
BLR,1966,1,short,1,4,27,32,23,10,30,82,21,10,31,80
BLR,1966,1,short,1,5,20,26,13,11,16,76,11,11,16,81
BLR,1966,1,short,1,6,101,121,62,65,133,203,58,65,136,236
BLR,1966,1,short,1,7,3073,5753,27,228,1918,21577,28,239,1994,25672
BLR,1966,1,short,1,8,1232,2253,0,50,881,8481,0,53,931,9870
BLR,1966,1,short,1,9,218,425,1,7,118,1608,1,8,124,1954
BLR,1966,1,short,1,10,1306,2094,866,49,849,7512,749,51,905,8488
BLR,1966,1,short,1,11,1187,2236,80,26,612,8764,69,27,653,10244
BLR,1966,1,short,1,12,353,496,123,62,415,1553,109,65,430,1613
BLR,1966,1,short,1,13,20,27,5,7,25,74,5,7,27,77
BLR,1966,1,short,1,14,170,274,8,48,162,908,8,49,167,1033
BLR,1966,1,short,1,15,258,163,1163,2,0,12,1002,2,0,12
BLR,1966,1,short,1,16,1040,1107,332,1163,1349,1168,325,1184,1343,1219
BLR,1967,1,short,1,0,11799,18987,2776,2231,10411,64324,2469,2300,10784,73157
BLR,1967,1,short,1,1,663,873,99,203,981,2326,88,217,1009,2325
BLR,1967,1,short,1,2,1778,2479,79,211,2605,7752,79,221,2706,7647
BLR,1967,1,short,1,3,18,23,11,6,25,54,9,6,27,55
BLR,1967,1,short,1,4,26,32,13,7,37,77,11,8,38,75
BLR,1967,1,short,1,5,16,20,14,8,20,32,13,9,20,42
BLR,1967,1,short,1,6,96,107,60,72,126,157,56,73,126,167
BLR,1967,1,short,1,7,3225,6018,19,251,2121,22310,20,263,2202,26647
BLR,1967,1,short,1,8,1290,2351,0,46,898,8972,0,50,948,10347
BLR,1967,1,short,1,9,135,245,0,13,93,921,0,13,96,1068
BLR,1967,1,short,1,10,1579,2670,827,61,907,9871,716,62,962,11353
BLR,1967,1,short,1,11,1159,2165,72,27,613,8518,63,29,655,9881
BLR,1967,1,short,1,12,319,442,143,57,401,1268,126,60,413,1356
BLR,1967,1,short,1,13,17,19,7,3,26,50,7,3,26,44
BLR,1967,1,short,1,14,141,218,9,44,141,708,9,46,146,789
BLR,1967,1,short,1,15,241,151,1088,4,0,0,939,4,0,0
BLR,1967,1,short,1,16,1097,1174,334,1216,1418,1309,332,1237,1410,1361
BLR,1968,1,short,1,0,11637,18526,2820,2295,10622,61946,2510,2370,10991,70295
BLR,1968,1,short,1,1,625,803,85,168,979,2129,76,177,1008,2044
BLR,1968,1,short,1,2,1883,2646,112,209,2735,8268,109,219,2847,8243
BLR,1968,1,short,1,3,14,15,16,5,22,19,15,5,22,18
BLR,1968,1,short,1,4,25,30,11,11,33,71,10,11,35,68
BLR,1968,1,short,1,5,22,24,27,10,27,35,24,11,26,41
BLR,1968,1,short,1,6,89,96,65,74,108,130,61,75,108,139
BLR,1968,1,short,1,7,3276,6041,20,238,2287,22333,20,251,2373,26485
BLR,1968,1,short,1,8,1226,2254,0,47,818,8617,0,50,863,9994
BLR,1968,1,short,1,9,175,324,0,11,127,1192,0,11,132,1417
BLR,1968,1,short,1,10,1207,1983,781,43,741,7120,675,45,784,8197
BLR,1968,1,short,1,11,1216,2267,79,28,674,8846,68,29,721,10288
BLR,1968,1,short,1,12,297,394,131,63,395,1088,115,67,406,1124
BLR,1968,1,short,1,13,20,27,9,11,22,66,9,11,23,74
BLR,1968,1,short,1,14,157,240,10,46,162,790,11,47,167,862
BLR,1968,1,short,1,15,242,152,1093,5,0,0,942,5,0,0
BLR,1968,1,short,1,16,1163,1229,382,1328,1492,1240,375,1357,1478,1301
BLR,1969,1,short,1,0,12160,19471,2690,2349,11067,65496,2390,2427,11446,74371
BLR,1969,1,short,1,1,541,699,81,138,878,1764,72,148,902,1739
BLR,1969,1,short,1,2,1849,2589,76,205,2760,7978,77,216,2873,7932
BLR,1969,1,short,1,3,16,18,11,9,20,33,10,9,20,32
BLR,1969,1,short,1,4,18,21,6,9,27,42,5,10,27,42
BLR,1969,1,short,1,5,20,24,9,15,24,46,8,15,23,51
BLR,1969,1,short,1,6,83,93,58,64,97,151,55,65,99,159
BLR,1969,1,short,1,7,3610,6662,17,252,2506,24687,17,268,2598,29261
BLR,1969,1,short,1,8,1265,2287,0,60,907,8668,0,64,948,9996
BLR,1969,1,short,1,9,204,384,1,9,124,1466,1,9,130,1732
BLR,1969,1,short,1,10,1380,2295,766,45,824,8473,663,47,877,9645
BLR,1969,1,short,1,11,1228,2305,68,28,624,9123,59,30,670,10574
BLR,1969,1,short,1,12,293,387,119,70,404,1032,104,73,415,1072
BLR,1969,1,short,1,13,20,25,3,9,26,70,2,9,26,68
BLR,1969,1,short,1,14,140,217,9,50,136,703,9,51,140,784
BLR,1969,1,short,1,15,248,156,1124,3,0,0,968,3,0,0
BLR,1969,1,short,1,16,1245,1310,344,1382,1709,1260,341,1409,1696,1283
BLR,1970,1,short,1,0,12418,19761,2940,2674,11270,65713,2621,2749,11649,74804
BLR,1970,1,short,1,1,502,649,62,140,791,1691,55,149,808,1660
BLR,1970,1,short,1,2,1782,2461,95,193,2735,7436,94,201,2843,7338
BLR,1970,1,short,1,3,15,20,5,9,13,63,5,9,13,61
BLR,1970,1,short,1,4,23,30,7,9,34,69,6,9,36,75
