country,year,sex,list,agf,cause,total,d0,d1,d5,d10,d15,d20,d25,d30,d35,d40,d45,d50,d55,d60,d65,d70,d75,d80,d85p,d85,d90p,d90,d95p,d95,d100p
GBRTENW,2001,1,short,3,17,2934.01,46.74,13.53,2.89,2.63,8.56,23.81,29.27,42.81,37.3,51.94,52.31,69.27,47.84,47.73,44.97,57.78,118.57,323.53,1912.51,614.67,1297.84,832.2,465.64,.,.
GBRTENW,2002,1,short,3,17,2823.44,45.55,13.4,0.99,1.96,13.7,22.77,28.18,44.75,53.33,59.44,61.48,64.56,60.98,51.73,53.6,52.76,116.67,277.59,1799.99,540.34,1259.66,779.09,480.56,.,.
GBRTENW,2003,1,short,3,17,2801.57,53.47,9.84,0,1.86,15.17,26.44,28.21,39.28,53.09,56.82,62.18,77.83,64.57,66.05,41.06,55.04,91.94,302.39,1756.35,496.94,1259.42,790.88,468.54,.,.
GBRTENW,2004,1,short,3,17,2693.53,68.35,9.47,1.95,8.16,6.51,24.62,26.02,36.07,45.98,65.02,77.33,75.35,79.76,71.8,71.79,53.81,109.81,291.81,1569.91,394.96,1174.95,685.84,489.11,.,.
GBRTENW,2005,1,short,3,17,2705.94,65.72,4.75,4.73,2.71,7.88,25.61,26.43,42.32,47.29,72.44,70.31,74.74,78.87,60.98,63.93,72.03,100.11,273.48,1611.62,438.38,1173.23,693.93,479.31,.,.
GBRTENW,2006,1,short,3,17,2582,38,7,2,4,12,23,31,40,67,77,85,84,101,65,51,60,59,226,1550,378,1172,684,488,.,.
GBRTENW,2007,1,short,3,17,2673,61,11,3,4,6,30,35,49,74,58,84,70,100,81,49,56,61,198,1643,397,1246,680,566,.,.
GBRTENW,2008,1,short,3,17,2663,65,8,3,2,12,21,30,42,59,69,76,90,89,84,58,56,63,196,1640,434,1206,628,578,.,.
GBRTENW,2009,1,short,3,17,2393,61,14,2,1,14,14,30,48,53,77,91,79,84,96,71,61,63,160,1374,386,988,477,511,.,.
GBRTENW,2010,1,short,3,17,2469,65,14,4,3,14,31,33,33,43,97,84,82,79,83,60,57,49,165,1473,408,1065,554,511,.,.
GBRTENW,2011,1,short,3,17,2544,65,5,1,3,12,19,35,41,56,79,74,74,64,81,66,58,52,164,1595,396,1199,630,569,.,.
GBRTENW,2012,1,short,3,17,2720,49,6,3,2,14,12,22,39,45,67,86,89,76,90,78,62,54,176,1750,397,1353,741,612,.,.
GBRTENW,2013,1,short,3,17,2758,36,13,1,4,13,18,30,32,53,66,79,70,77,80,91,60,50,174,1811,436,1375,780,595,.,.
GBRTENW,2014,1,short,3,17,2980,53,7,1,2,4,19,27,44,52,68,81,101,96,91,120,64,52,189,1909,425,1484,836,648,.,.
GBRTENW,2015,1,short,3,17,3131,56,12,2,4,9,17,31,31,29,63,85,81,77,93,95,55,67,199,2125,514,1611,877,734,.,.
