country,year,sex,list,agf,cause,total,d0,d1,d5,d10,d15,d20,d25,d30,d35,d40,d45,d50,d55,d60,d65,d70,d75,d80,d85p,d85,d90p,d90,d95p,d95,d100p
GBRTENW,2016,1,short,3,17,3275.04,56,6,2,0,7,17,25,35,37.02,54.02,84,88,99,71,71,63,57,231,2272,553,1719,925,794,.,.
GBRTENW,2001,2,short,3,17,10279.72,46.45,8.93,1.9,1.04,4.9,8.9,11.34,10.58,17.18,17.87,23.83,21.83,42.04,24.99,25.88,48.8,173.45,802.32,8987.48,2196.92,6790.56,3448.65,3341.91,.,.
GBRTENW,2002,2,short,3,17,10128.34,38.33,10.82,0,4.63,2.95,3.7,9.84,19.37,16.23,19.85,28.75,23.06,24.9,27.88,26.97,65.83,202.54,842.67,8760.04,2019.1,6740.94,3433.4,3307.54,.,.
GBRTENW,2003,2,short,3,17,9956.27,55.67,6.06,0.96,1.85,0.95,6.65,8.41,13.64,22.81,20.9,29.89,30.83,25.96,17,28.01,39.98,180.82,814.19,8651.68,1831.46,6820.21,3411.72,3408.49,.,.
GBRTENW,2004,2,short,3,17,8798.55,51.69,10.04,1.9,0.94,4.57,10.13,17.06,21.75,26.37,23.75,19.93,32.9,38.86,32.94,37.88,45.86,156.55,736.54,7528.89,1516.28,6012.61,2941.19,3071.41,.,.
GBRTENW,2005,2,short,3,17,8618.44,46.64,6.91,1.96,4.63,4.85,7.65,12.4,11.5,21.89,25.92,25.01,28.84,31.97,25.03,29.06,49.06,172.13,625.93,7487.07,1382.88,6104.19,2901.92,3202.27,.,.
GBRTENW,2006,2,short,3,17,8183,43,10,2,1,4,12,16,18,27,31,39,29,33,28,32,48,103,573,7134,1325,5809,2716,3093,.,.
GBRTENW,2007,2,short,3,17,8216,42,7,0,1,9,8,12,19,29,32,26,42,35,24,29,41,88,509,7263,1381,5882,2608,3274,.,.
GBRTENW,2008,2,short,3,17,8339,29,6,2,2,5,6,11,18,25,31,34,42,33,43,26,34,68,496,7428,1302,6126,2592,3534,.,.
GBRTENW,2009,2,short,3,17,6726,47,5,1,2,8,5,14,15,19,19,31,38,32,24,29,33,64,381,5959,1181,4778,1914,2864,.,.
GBRTENW,2010,2,short,3,17,7280,37,6,0,2,8,12,15,14,25,32,31,37,43,36,24,32,55,347,6524,1154,5370,2182,3188,.,.
GBRTENW,2011,2,short,3,17,7535,46,7,1,2,6,5,11,23,29,25,41,37,36,29,36,30,54,388,6729,1106,5623,2263,3360,.,.
GBRTENW,2012,2,short,3,17,7881,34,8,3,4,7,5,10,10,16,17,39,42,35,35,36,29,57,391,7103,1167,5936,2440,3496,.,.
GBRTENW,2013,2,short,3,17,8121,35,6,0,0,5,6,9,21,17,25,31,31,43,50,28,34,66,375,7339,1160,6179,2683,3496,.,.
GBRTENW,2014,2,short,3,17,8011,47,8,2,1,10,8,12,18,24,23,30,25,32,27,33,32,58,387,7234,1143,6091,2782,3309,.,.
GBRTENW,2015,2,short,3,17,8638.01,32,14,1,3,3,5,9,13,19,32.02,31,42,30,35,34,36,48,391,7860,1268,6592,2906,3686,.,.
GBRTENW,2016,2,short,3,17,8551,42,8,1,0,6,9,8,12,18,13,34,45,37,35,54,37,56,412,7724,1303,6421,2769,3652,.,.
GBRTENW,2001,3,short,3,17,13213.73,93.19,22.47,4.79,3.68,13.46,32.72,40.61,53.4,54.48,69.81,76.14,91.1,89.88,72.71,70.86,106.57,292.02,1125.85,10899.99,2811.59,8088.41,4280.85,3807.55,.,.
GBRTENW,2002,3,short,3,17,12951.78,83.88,24.22,0.99,6.59,16.65,26.47,38.03,64.12,69.56,79.28,90.22,87.62,85.89,79.61,80.56,118.59,319.21,1120.26,10560.03,2559.43,8000.6,4212.49,3788.1,.,.
GBRTENW,2003,3,short,3,17,12757.85,109.14,15.9,0.96,3.7,16.13,33.09,36.62,52.92,75.89,77.72,92.07,108.66,90.53,83.05,69.07,95.01,272.76,1116.59,10408.03,2328.4,8079.63,4202.6,3877.03,.,.
GBRTENW,2004,3,short,3,17,11492.08,120.05,19.51,3.85,9.1,11.09,34.75,43.08,57.82,72.35,88.76,97.26,108.26,118.62,104.74,109.67,99.67,266.35,1028.35,9098.8,1911.24,7187.56,3627.03,3560.52,.,.
GBRTENW,2005,3,short,3,17,11324.39,112.36,11.65,6.68,7.34,12.73,33.26,38.84,53.82,69.18,98.36,95.32,103.58,110.84,86.01,92.99,121.1,272.24,899.41,9098.69,1821.27,7277.42,3595.85,3681.57,.,.
GBRTENW,2006,3,short,3,17,10765,81,17,4,5,16,35,47,58,94,108,124,113,134,93,83,108,162,799,8684,1703,6981,3400,3581,.,.
GBRTENW,2007,3,short,3,17,10889,103,18,3,5,15,38,47,68,103,90,110,112,135,105,78,97,149,707,8906,1778,7128,3288,3840,.,.
GBRTENW,2008,3,short,3,17,11002,94,14,5,4,17,27,41,60,84,100,110,132,122,127,84,90,131,692,9068,1736,7332,3220,4112,.,.
GBRTENW,2009,3,short,3,17,9119,108,19,3,3,22,19,44,63,72,96,122,117,116,120,100,94,127,541,7333,1567,5766,2391,3375,.,.
GBRTENW,2010,3,short,3,17,9749,102,20,4,5,22,43,48,47,68,129,115,119,122,119,84,89,104,512,7997,1562,6435,2736,3699,.,.
GBRTENW,2011,3,short,3,17,10079,111,12,2,5,18,24,46,64,85,104,115,111,100,110,102,88,106,552,8324,1502,6822,2893,3929,.,.
GBRTENW,2012,3,short,3,17,10601,83,14,6,6,21,17,32,49,61,84,125,131,111,125,114,91,111,567,8853,1564,7289,3181,4108,.,.
GBRTENW,2013,3,short,3,17,10879,71,19,1,4,18,24,39,53,70,91,110,101,120,130,119,94,116,549,9150,1596,7554,3463,4091,.,.
GBRTENW,2014,3,short,3,17,10991,100,15,3,3,14,27,39,62,76,91,111,126,128,118,153,96,110,576,9143,1568,7575,3618,3957,.,.
GBRTENW,2015,3,short,3,17,11769.01,88,26,3,7,12,22,40,44,48,95.02,116,123,107,128,129,91,115,590,9985,1782,8203,3783,4420,.,.
GBRTENW,2016,3,short,3,17,11826.04,98,14,3,0,13,26,33,47,55.02,67.02,118,133,136,106,125,100,113,643,9996,1856,8140,3694,4446,.,.
