country,year,sex,list,agf,cause,m0,m1,m5,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,m75,m80,m85p,m85,m90p,m90,m95p,m95,m100p
GBRTENW,2001,1,interm,3,0,5946,248,109,160,533,803,845,1074,1304,1852,3028,4698,7643,12774,21063,36133,61198,98422,191657,163132,272480,253677,388160,.,.
GBRTENW,2001,1,interm,3,1,0,2,0,0,0,0,0,0,0,1,1,1,1,2,3,31,60,123,405,310,674,581,1244,.,.
GBRTENW,2001,1,interm,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,14,15,10,31,17,113,.,.
GBRTENW,2001,1,interm,3,3,0,0,0,0,0,3,3,2,3,4,6,3,6,6,19,41,65,111,75,70,88,103,0,.,.
GBRTENW,2001,1,interm,3,4,84,7,3,2,2,1,2,6,5,4,6,12,20,32,54,98,208,332,697,585,1014,940,1470,.,.
GBRTENW,2001,1,interm,3,5,84,16,2,2,3,7,2,1,5,3,3,2,3,8,13,9,19,28,76,60,121,85,339,.,.
GBRTENW,2001,1,interm,3,6,7,0,0,0,0,1,5,12,10,15,8,3,5,1,4,2,1,0,0,0,0,0,0,.,.
GBRTENW,2001,1,interm,3,7,0,0,0,0,0,1,1,0,6,9,18,12,7,11,8,6,10,7,4,5,0,0,0,.,.
GBRTENW,2001,1,interm,3,8,20,2,1,1,0,1,3,3,4,4,3,3,5,5,12,6,16,28,41,25,88,103,0,.,.
GBRTENW,2001,1,interm,3,9,10,0,1,0,0,3,1,1,2,2,5,5,8,8,13,20,24,35,72,65,90,68,226,.,.
GBRTENW,2001,1,interm,3,10,0,0,0,1,0,1,2,3,1,10,46,63,105,106,132,143,190,181,319,305,358,325,565,.,.
GBRTENW,2001,1,interm,3,11,0,0,0,0,0,1,1,5,6,21,62,133,220,336,465,695,932,1261,1370,1305,1555,1606,1244,.,.
GBRTENW,2001,1,interm,3,12,0,0,0,1,0,0,2,4,9,15,32,57,113,231,400,667,945,1289,1832,1824,1853,1897,1583,.,.
GBRTENW,2001,1,interm,3,13,0,0,0,0,1,1,1,4,8,18,51,112,177,340,551,906,1243,1628,2550,2484,2738,2631,3392,.,.
GBRTENW,2001,1,interm,3,14,0,0,0,0,0,0,0,2,7,18,29,77,131,225,329,460,684,834,1164,1060,1461,1350,2148,.,.
GBRTENW,2001,1,interm,3,15,0,1,0,0,1,3,4,3,3,10,20,32,69,95,150,189,317,264,457,440,506,478,678,.,.
GBRTENW,2001,1,interm,3,16,0,0,0,0,0,0,0,3,8,21,48,76,156,254,348,503,681,841,1147,1045,1439,1452,1357,.,.
GBRTENW,2001,1,interm,3,17,0,0,0,0,1,0,1,3,5,9,17,27,55,87,159,232,342,460,641,490,1068,1076,1018,.,.
GBRTENW,2001,1,interm,3,18,0,0,0,0,0,0,0,0,1,3,7,24,43,64,74,90,135,186,221,195,294,342,0,.,.
GBRTENW,2001,1,interm,3,19,0,0,0,0,0,0,2,6,15,45,166,376,779,1429,2318,3533,4986,5739,6023,5988,6124,6219,5540,.,.
GBRTENW,2001,1,interm,3,20,0,0,0,0,0,3,5,9,15,13,25,45,51,72,96,122,188,257,492,475,539,461,1018,.,.
GBRTENW,2001,1,interm,3,21,0,0,0,0,0,0,0,0,0,0,1,2,1,9,6,13,27,31,37,40,29,34,0,.,.
GBRTENW,2001,1,interm,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
GBRTENW,2001,1,interm,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
GBRTENW,2001,1,interm,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
GBRTENW,2001,1,interm,3,25,0,0,0,0,0,0,0,0,0,2,11,37,106,317,686,1362,2661,4574,8785,7757,11699,11414,13455,.,.
GBRTENW,2001,1,interm,3,26,0,0,0,0,1,1,1,5,6,5,5,3,10,11,16,15,22,33,72,45,148,154,113,.,.
GBRTENW,2001,1,interm,3,27,0,0,1,0,0,0,0,1,2,5,12,27,77,146,257,503,832,1289,2452,2154,3295,3058,4749,.,.
GBRTENW,2001,1,interm,3,28,0,1,2,0,0,0,3,4,6,10,29,70,97,160,208,310,378,540,591,595,579,581,565,.,.
GBRTENW,2001,1,interm,3,29,3,12,6,3,8,6,16,20,30,45,68,102,146,178,217,211,243,205,153,155,148,154,113,.,.
GBRTENW,2001,1,interm,3,30,7,6,10,12,12,15,11,16,19,22,33,47,70,126,214,291,496,691,1174,1070,1471,1452,1583,.,.
GBRTENW,2001,1,interm,3,31,0,3,3,3,9,11,7,15,25,35,46,107,180,270,391,560,791,1129,1398,1429,1308,1281,1470,.,.
GBRTENW,2001,1,interm,3,32,0,1,0,1,1,1,0,0,0,1,3,9,15,29,44,94,154,219,377,310,566,530,791,.,.
GBRTENW,2001,1,interm,3,33,7,8,3,7,11,20,13,21,31,53,92,205,351,611,929,1508,2078,2903,3711,3539,4198,4237,3957,.,.
GBRTENW,2001,1,interm,3,34,13,4,2,3,1,1,2,7,7,14,11,22,37,68,123,245,417,709,1338,1140,1901,1879,2035,.,.
GBRTENW,2001,1,interm,3,35,0,0,0,0,0,3,7,9,16,22,35,54,77,161,269,499,724,1197,2137,1914,2767,2665,3392,.,.
GBRTENW,2001,1,interm,3,36,3,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,8,7,19,20,15,17,0,.,.
GBRTENW,2001,1,interm,3,37,74,10,6,8,9,15,7,8,12,12,10,21,20,37,47,59,80,108,219,160,388,359,565,.,.
GBRTENW,2001,1,interm,3,38,24,4,2,4,2,6,4,4,8,7,8,8,15,14,24,31,71,144,382,270,699,683,791,.,.
GBRTENW,2001,1,interm,3,39,0,0,0,0,0,0,0,0,0,1,1,5,9,20,91,236,826,2043,6742,5283,10876,10217,14925,.,.
GBRTENW,2001,1,interm,3,40,0,0,0,0,3,4,8,7,15,23,30,31,31,28,20,15,12,12,11,15,0,0,0,.,.
GBRTENW,2001,1,interm,3,41,0,0,0,2,20,72,91,91,54,40,27,8,4,2,3,0,0,0,4,5,0,0,0,.,.
GBRTENW,2001,1,interm,3,42,0,0,0,0,0,0,0,0,1,2,2,1,0,4,5,12,16,47,79,50,162,188,0,.,.
GBRTENW,2001,1,interm,3,43,54,5,1,0,1,1,4,8,11,24,35,54,75,115,162,179,226,269,205,230,133,137,113,.,.
GBRTENW,2001,1,interm,3,44,0,0,0,0,1,0,0,0,0,0,1,2,6,25,86,257,756,1341,2511,2239,3281,3263,3392,.,.
GBRTENW,2001,1,interm,3,45,13,1,1,2,0,0,1,2,0,1,4,5,13,33,66,170,413,929,2169,1879,2989,2905,3505,.,.
GBRTENW,2001,1,interm,3,46,13,8,3,4,14,16,18,23,29,32,29,27,26,20,32,22,38,54,86,90,73,85,0,.,.
GBRTENW,2001,1,interm,3,47,111,31,8,20,31,15,13,15,17,16,21,30,37,39,65,82,148,250,345,315,430,444,339,.,.
GBRTENW,2001,1,interm,3,48,0,0,0,0,1,1,1,1,1,2,4,6,14,13,34,61,90,148,222,180,340,359,226,.,.
GBRTENW,2001,1,interm,3,49,0,0,0,0,0,0,0,0,0,0,1,1,0,1,9,11,41,64,132,100,222,239,113,.,.
GBRTENW,2001,1,interm,3,50,0,0,0,0,0,1,0,3,1,8,21,37,47,86,125,164,338,509,781,695,1026,991,1244,.,.
GBRTENW,2001,1,interm,3,51,7,1,0,0,1,2,8,20,50,149,308,527,899,1584,2625,4452,7048,10614,15256,14330,17880,17496,20239,.,.
GBRTENW,2001,1,interm,3,52,0,0,0,0,0,1,2,15,49,105,250,401,626,1026,1558,2278,3309,4287,5675,5568,5979,5775,7236,.,.
GBRTENW,2001,1,interm,3,53,0,1,0,1,0,1,1,6,12,39,108,205,419,869,1494,2880,5118,8941,18461,15814,25961,24501,34938,.,.
GBRTENW,2001,1,interm,3,54,10,1,0,2,2,1,2,6,8,9,19,20,43,61,119,217,355,549,1003,875,1367,1350,1470,.,.
GBRTENW,2001,1,interm,3,55,0,0,0,1,0,2,1,5,2,8,11,24,37,64,129,226,412,735,1432,1434,1426,1401,1583,.,.
GBRTENW,2001,1,interm,3,56,0,0,0,0,0,1,1,1,0,2,0,0,1,1,2,3,0,9,50,25,120,103,226,.,.
GBRTENW,2001,1,interm,3,57,0,0,0,1,1,0,1,1,2,3,7,7,20,60,139,329,904,1961,6515,4593,11960,10559,20578,.,.
GBRTENW,2001,1,interm,3,58,67,4,1,5,13,17,16,26,37,48,66,80,111,131,222,299,590,1089,2680,1974,4679,4374,6558,.,.
GBRTENW,2001,1,interm,3,59,0,0,2,2,3,9,15,14,30,57,95,138,199,239,329,462,682,966,1369,1315,1524,1367,2487,.,.
GBRTENW,2001,1,interm,3,60,0,1,1,0,1,1,1,2,2,8,8,25,49,91,178,371,722,1407,3009,2629,4086,4015,4523,.,.
GBRTENW,2001,1,interm,3,61,10,0,1,0,0,1,1,1,3,11,22,54,129,298,808,1889,4212,8564,19821,16494,29247,26723,44775,.,.
GBRTENW,2001,1,interm,3,62,0,0,0,0,0,0,0,0,0,1,1,1,5,14,26,95,223,481,1052,935,1386,1299,1922,.,.
GBRTENW,2001,1,interm,3,63,0,1,0,0,2,1,4,3,6,11,22,45,116,292,655,1318,2203,3448,5732,5173,7314,7125,8480,.,.
GBRTENW,2001,1,interm,3,64,10,0,0,1,1,0,4,7,10,16,29,43,60,102,167,262,409,634,945,855,1203,1196,1244,.,.
GBRTENW,2001,1,interm,3,65,7,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,7,22,20,29,34,0,.,.
GBRTENW,2001,1,interm,3,66,57,6,1,1,3,6,8,12,24,33,67,81,142,235,448,973,2506,5694,21481,14570,41064,34377,82200,.,.
GBRTENW,2001,1,interm,3,67,44,4,0,0,1,1,1,1,1,2,1,7,6,12,13,33,60,132,336,275,509,444,905,.,.
GBRTENW,2001,1,interm,3,68,0,3,1,2,3,3,4,5,7,11,16,14,23,31,39,56,65,104,283,230,434,376,791,.,.
GBRTENW,2001,1,interm,3,69,0,0,0,0,1,1,1,1,9,11,32,86,236,506,1044,2358,4148,6523,11105,10551,12676,12439,14133,.,.
GBRTENW,2001,1,interm,3,70,7,2,1,1,1,2,2,1,4,4,5,10,15,23,33,93,177,292,861,635,1503,1196,3392,.,.
GBRTENW,2001,1,interm,3,71,0,0,0,0,0,0,0,0,0,0,0,2,3,15,20,46,107,193,283,300,235,273,0,.,.
GBRTENW,2001,1,interm,3,72,3,2,1,0,0,2,1,4,5,7,6,17,42,80,174,282,482,613,880,840,992,1025,791,.,.
GBRTENW,2001,1,interm,3,73,50,2,1,1,1,2,2,3,6,4,8,14,29,43,91,199,420,1086,3044,2164,5537,4801,10063,.,.
GBRTENW,2001,1,interm,3,74,0,0,0,1,1,1,1,2,5,12,14,36,57,75,141,258,466,716,1502,1270,2160,2033,2940,.,.
GBRTENW,2001,1,interm,3,75,3,0,0,0,0,0,0,1,0,3,1,1,5,6,14,28,83,144,394,275,732,649,1244,.,.
GBRTENW,2001,1,interm,3,76,37,7,1,1,1,6,2,8,8,9,13,33,52,120,182,374,671,1148,2105,1829,2888,2751,3731,.,.
GBRTENW,2001,1,interm,3,77,0,0,0,0,0,3,8,35,68,146,202,237,238,208,162,132,117,66,45,50,29,34,0,.,.
GBRTENW,2001,1,interm,3,78,0,0,0,0,0,2,1,6,13,34,53,75,71,74,108,108,130,163,149,155,132,154,0,.,.
GBRTENW,2001,1,interm,3,79,7,2,1,0,1,1,3,3,11,16,30,29,41,38,36,58,60,92,144,100,268,256,339,.,.
GBRTENW,2001,1,interm,3,80,0,1,0,0,0,0,1,1,0,2,2,7,8,18,32,71,121,229,395,325,592,615,452,.,.
GBRTENW,2001,1,interm,3,81,0,0,1,1,0,1,2,6,10,10,25,28,30,33,41,85,101,163,165,160,181,137,452,.,.
GBRTENW,2001,1,interm,3,82,7,1,1,0,1,1,1,4,5,8,18,14,29,50,78,160,337,653,1543,1170,2602,2290,4523,.,.
GBRTENW,2001,1,interm,3,83,0,0,0,0,0,0,0,0,0,1,4,5,6,13,18,50,82,151,475,375,757,752,791,.,.
GBRTENW,2001,1,interm,3,84,0,1,1,2,3,1,2,5,3,4,7,25,18,59,105,149,306,471,1556,1135,2750,2443,4636,.,.
GBRTENW,2001,1,interm,3,85,3,0,0,0,1,1,1,1,1,1,5,5,5,11,37,53,95,177,329,350,270,222,565,.,.
GBRTENW,2001,1,interm,3,86,0,1,1,1,2,0,3,1,4,2,12,12,21,40,68,138,344,646,1868,1370,3282,2768,6445,.,.
GBRTENW,2001,1,interm,3,87,3,0,0,0,1,1,0,0,3,1,5,3,12,26,48,117,311,646,2182,1664,3647,3468,4749,.,.
GBRTENW,2001,1,interm,3,88,0,0,0,0,0,0,0,0,0,0,0,2,2,5,14,17,57,108,279,245,375,308,791,.,.
GBRTENW,2001,1,interm,3,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
GBRTENW,2001,1,interm,3,90,3213,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
GBRTENW,2001,1,interm,3,91,1256,35,8,11,22,14,12,14,17,17,13,18,33,42,23,35,37,49,45,35,75,68,113,.,.
GBRTENW,2001,1,interm,3,92,460,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
GBRTENW,2001,1,interm,3,93,10,10,15,34,158,167,129,117,101,83,72,60,69,63,72,86,129,144,269,265,280,308,113,.,.
GBRTENW,2001,1,interm,3,94,0,1,1,2,9,8,14,12,22,30,45,42,52,60,81,129,224,483,977,775,1549,1469,2035,.,.
GBRTENW,2001,1,interm,3,95,3,4,3,1,8,9,8,6,5,8,10,5,5,7,5,3,5,16,11,15,0,0,0,.,.
GBRTENW,2001,1,interm,3,96,7,6,3,1,4,4,8,6,4,9,7,6,5,6,10,14,19,33,49,45,60,51,113,.,.
GBRTENW,2001,1,interm,3,97,0,0,0,0,2,3,1,7,10,10,11,6,7,4,3,0,0,0,0,0,0,0,0,.,.
GBRTENW,2001,1,interm,3,98,0,1,0,1,15,54,71,56,54,37,28,20,11,10,6,12,14,19,37,40,29,34,0,.,.
GBRTENW,2001,1,interm,3,99,57,6,1,6,7,10,10,10,13,8,12,7,9,10,8,15,24,31,95,45,237,239,226,.,.
GBRTENW,2001,1,interm,3,100,0,0,0,2,52,110,134,172,146,149,161,138,120,99,81,93,128,127,233,210,298,273,452,.,.
GBRTENW,2001,1,interm,3,101,7,4,3,1,2,8,5,2,3,5,1,1,3,2,0,0,1,0,8,5,15,17,0,.,.
GBRTENW,2001,1,interm,3,102,71,11,5,8,69,118,108,106,93,81,86,65,67,41,52,54,46,49,67,80,31,17,113,.,.
GBRTENW,2001,1,interm,3,103,0,1,1,1,2,0,0,0,1,2,2,5,7,6,8,31,45,87,109,105,119,120,113,.,.
GBRTENW,2001,1,interm,3,104,3,3,3,4,7,15,10,19,20,23,18,29,31,37,37,76,156,417,1599,1025,3227,2888,5314,.,.
GBRTENW,2002,1,interm,3,0,5986,251,117,158,493,770,853,1023,1279,1883,3048,4635,7416,12554,20496,35109,60025,97546,193910,163125,275991,254566,405141,.,.
GBRTENW,2002,1,interm,3,1,0,0,0,0,0,0,0,0,0,0,1,1,1,3,11,27,75,135,430,378,568,455,1254,.,.
GBRTENW,2002,1,interm,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,4,24,11,5,28,32,0,.,.
GBRTENW,2002,1,interm,3,3,0,0,0,0,0,2,2,1,2,2,10,10,13,10,18,34,68,108,116,106,143,97,418,.,.
GBRTENW,2002,1,interm,3,4,44,9,2,0,1,1,1,1,4,4,8,13,20,29,56,100,213,389,807,671,1171,1088,1672,.,.
GBRTENW,2002,1,interm,3,5,54,16,1,2,3,4,2,3,1,3,0,1,4,6,7,13,23,22,52,55,42,49,0,.,.
