country,year,sex,list,cause,cdr
GBRTENW,2002,1,interm,41,27
GBRTENW,2002,1,interm,42,4
GBRTENW,2002,1,interm,43,50
GBRTENW,2002,1,interm,44,90
GBRTENW,2002,1,interm,45,65
GBRTENW,2002,1,interm,46,22
GBRTENW,2002,1,interm,47,39
GBRTENW,2002,1,interm,48,12
GBRTENW,2002,1,interm,49,5
GBRTENW,2002,1,interm,50,52
GBRTENW,2002,1,interm,51,997
GBRTENW,2002,1,interm,52,503
GBRTENW,2002,1,interm,53,729
GBRTENW,2002,1,interm,54,52
GBRTENW,2002,1,interm,55,62
GBRTENW,2002,1,interm,56,1
GBRTENW,2002,1,interm,57,155
GBRTENW,2002,1,interm,58,122
GBRTENW,2002,1,interm,59,130
GBRTENW,2002,1,interm,60,102
GBRTENW,2002,1,interm,61,629
GBRTENW,2002,1,interm,62,29
GBRTENW,2002,1,interm,63,287
GBRTENW,2002,1,interm,64,63
GBRTENW,2002,1,interm,65,1
GBRTENW,2002,1,interm,66,497
GBRTENW,2002,1,interm,67,13
GBRTENW,2002,1,interm,68,18
GBRTENW,2002,1,interm,69,531
GBRTENW,2002,1,interm,70,34
GBRTENW,2002,1,interm,71,15
GBRTENW,2002,1,interm,72,63
GBRTENW,2002,1,interm,73,89
GBRTENW,2002,1,interm,74,70
GBRTENW,2002,1,interm,75,12
GBRTENW,2002,1,interm,76,105
GBRTENW,2002,1,interm,77,94
GBRTENW,2002,1,interm,78,36
GBRTENW,2002,1,interm,79,23
GBRTENW,2002,1,interm,80,18
GBRTENW,2002,1,interm,81,22
GBRTENW,2002,1,interm,82,53
GBRTENW,2002,1,interm,83,18
GBRTENW,2002,1,interm,84,50
GBRTENW,2002,1,interm,85,14
GBRTENW,2002,1,interm,86,60
GBRTENW,2002,1,interm,87,61
GBRTENW,2002,1,interm,88,9
GBRTENW,2002,1,interm,89,0
GBRTENW,2002,1,interm,90,40
GBRTENW,2002,1,interm,91,36
GBRTENW,2002,1,interm,92,5
GBRTENW,2002,1,interm,93,92
GBRTENW,2002,1,interm,94,51
GBRTENW,2002,1,interm,95,5
GBRTENW,2002,1,interm,96,7
GBRTENW,2002,1,interm,97,3
GBRTENW,2002,1,interm,98,22
GBRTENW,2002,1,interm,99,11
GBRTENW,2002,1,interm,100,98
GBRTENW,2002,1,interm,101,3
GBRTENW,2002,1,interm,102,59
GBRTENW,2002,1,interm,103,7
GBRTENW,2002,1,interm,104,44
GBRTENW,2003,1,interm,0,9825
GBRTENW,2003,1,interm,1,13
GBRTENW,2003,1,interm,2,1
GBRTENW,2003,1,interm,3,10
GBRTENW,2003,1,interm,4,36
GBRTENW,2003,1,interm,5,6
GBRTENW,2003,1,interm,6,6
GBRTENW,2003,1,interm,7,6
GBRTENW,2003,1,interm,8,5
GBRTENW,2003,1,interm,9,3
GBRTENW,2003,1,interm,10,39
GBRTENW,2003,1,interm,11,161
GBRTENW,2003,1,interm,12,128
GBRTENW,2003,1,interm,13,181
GBRTENW,2003,1,interm,14,112
GBRTENW,2003,1,interm,15,53
GBRTENW,2003,1,interm,16,119
GBRTENW,2003,1,interm,17,53
GBRTENW,2003,1,interm,18,22
GBRTENW,2003,1,interm,19,666
GBRTENW,2003,1,interm,20,43
GBRTENW,2003,1,interm,21,3
GBRTENW,2003,1,interm,22,0
GBRTENW,2003,1,interm,23,0
GBRTENW,2003,1,interm,24,0
GBRTENW,2003,1,interm,25,359
GBRTENW,2003,1,interm,26,7
GBRTENW,2003,1,interm,27,113
GBRTENW,2003,1,interm,28,71
GBRTENW,2003,1,interm,29,66
GBRTENW,2003,1,interm,30,87
GBRTENW,2003,1,interm,31,141
GBRTENW,2003,1,interm,32,21
GBRTENW,2003,1,interm,33,315
GBRTENW,2003,1,interm,34,66
GBRTENW,2003,1,interm,35,115
GBRTENW,2003,1,interm,36,1
GBRTENW,2003,1,interm,37,25
GBRTENW,2003,1,interm,38,17
GBRTENW,2003,1,interm,39,145
GBRTENW,2003,1,interm,40,13
GBRTENW,2003,1,interm,41,24
GBRTENW,2003,1,interm,42,3
GBRTENW,2003,1,interm,43,49
GBRTENW,2003,1,interm,44,99
GBRTENW,2003,1,interm,45,66
GBRTENW,2003,1,interm,46,23
GBRTENW,2003,1,interm,47,41
GBRTENW,2003,1,interm,48,12
GBRTENW,2003,1,interm,49,5
GBRTENW,2003,1,interm,50,53
GBRTENW,2003,1,interm,51,940
GBRTENW,2003,1,interm,52,499
GBRTENW,2003,1,interm,53,702
GBRTENW,2003,1,interm,54,52
GBRTENW,2003,1,interm,55,62
GBRTENW,2003,1,interm,56,1
GBRTENW,2003,1,interm,57,157
GBRTENW,2003,1,interm,58,124
GBRTENW,2003,1,interm,59,130
GBRTENW,2003,1,interm,60,92
GBRTENW,2003,1,interm,61,613
GBRTENW,2003,1,interm,62,29
GBRTENW,2003,1,interm,63,279
GBRTENW,2003,1,interm,64,64
GBRTENW,2003,1,interm,65,1
GBRTENW,2003,1,interm,66,520
GBRTENW,2003,1,interm,67,15
GBRTENW,2003,1,interm,68,16
GBRTENW,2003,1,interm,69,552
GBRTENW,2003,1,interm,70,40
GBRTENW,2003,1,interm,71,13
GBRTENW,2003,1,interm,72,66
GBRTENW,2003,1,interm,73,102
GBRTENW,2003,1,interm,74,67
GBRTENW,2003,1,interm,75,11
GBRTENW,2003,1,interm,76,107
GBRTENW,2003,1,interm,77,104
GBRTENW,2003,1,interm,78,39
GBRTENW,2003,1,interm,79,22
GBRTENW,2003,1,interm,80,20
GBRTENW,2003,1,interm,81,21
GBRTENW,2003,1,interm,82,56
GBRTENW,2003,1,interm,83,19
GBRTENW,2003,1,interm,84,50
GBRTENW,2003,1,interm,85,13
GBRTENW,2003,1,interm,86,60
GBRTENW,2003,1,interm,87,69
GBRTENW,2003,1,interm,88,8
GBRTENW,2003,1,interm,89,0
GBRTENW,2003,1,interm,90,40
GBRTENW,2003,1,interm,91,36
GBRTENW,2003,1,interm,92,4
GBRTENW,2003,1,interm,93,91
GBRTENW,2003,1,interm,94,53
GBRTENW,2003,1,interm,95,6
GBRTENW,2003,1,interm,96,9
GBRTENW,2003,1,interm,97,4
GBRTENW,2003,1,interm,98,18
GBRTENW,2003,1,interm,99,11
GBRTENW,2003,1,interm,100,97
GBRTENW,2003,1,interm,101,3
GBRTENW,2003,1,interm,102,59
GBRTENW,2003,1,interm,103,7
GBRTENW,2003,1,interm,104,50
GBRTENW,2004,1,interm,0,9386
GBRTENW,2004,1,interm,1,17
GBRTENW,2004,1,interm,2,1
GBRTENW,2004,1,interm,3,8
GBRTENW,2004,1,interm,4,36
GBRTENW,2004,1,interm,5,5
GBRTENW,2004,1,interm,6,4
GBRTENW,2004,1,interm,7,5
GBRTENW,2004,1,interm,8,4
GBRTENW,2004,1,interm,9,3
GBRTENW,2004,1,interm,10,44
GBRTENW,2004,1,interm,11,157
GBRTENW,2004,1,interm,12,121
GBRTENW,2004,1,interm,13,180
GBRTENW,2004,1,interm,14,113
GBRTENW,2004,1,interm,15,53
GBRTENW,2004,1,interm,16,117
GBRTENW,2004,1,interm,17,54
GBRTENW,2004,1,interm,18,21
GBRTENW,2004,1,interm,19,650
GBRTENW,2004,1,interm,20,46
GBRTENW,2004,1,interm,21,2
GBRTENW,2004,1,interm,22,0
GBRTENW,2004,1,interm,23,0
GBRTENW,2004,1,interm,24,0
GBRTENW,2004,1,interm,25,356
GBRTENW,2004,1,interm,26,6
GBRTENW,2004,1,interm,27,110
GBRTENW,2004,1,interm,28,74
GBRTENW,2004,1,interm,29,70
GBRTENW,2004,1,interm,30,82
GBRTENW,2004,1,interm,31,137
GBRTENW,2004,1,interm,32,19
GBRTENW,2004,1,interm,33,316
GBRTENW,2004,1,interm,34,62
GBRTENW,2004,1,interm,35,105
GBRTENW,2004,1,interm,36,1
GBRTENW,2004,1,interm,37,24
GBRTENW,2004,1,interm,38,16
GBRTENW,2004,1,interm,39,137
GBRTENW,2004,1,interm,40,14
GBRTENW,2004,1,interm,41,24
GBRTENW,2004,1,interm,42,3
GBRTENW,2004,1,interm,43,50
GBRTENW,2004,1,interm,44,90
GBRTENW,2004,1,interm,45,64
GBRTENW,2004,1,interm,46,21
GBRTENW,2004,1,interm,47,36
GBRTENW,2004,1,interm,48,13
GBRTENW,2004,1,interm,49,5
GBRTENW,2004,1,interm,50,53
GBRTENW,2004,1,interm,51,854
GBRTENW,2004,1,interm,52,488
GBRTENW,2004,1,interm,53,649
GBRTENW,2004,1,interm,54,52
GBRTENW,2004,1,interm,55,62
GBRTENW,2004,1,interm,56,1
GBRTENW,2004,1,interm,57,133
GBRTENW,2004,1,interm,58,124
GBRTENW,2004,1,interm,59,127
GBRTENW,2004,1,interm,60,82
GBRTENW,2004,1,interm,61,550
GBRTENW,2004,1,interm,62,26
GBRTENW,2004,1,interm,63,263
GBRTENW,2004,1,interm,64,58
GBRTENW,2004,1,interm,65,1
GBRTENW,2004,1,interm,66,470
GBRTENW,2004,1,interm,67,18
GBRTENW,2004,1,interm,68,18
GBRTENW,2004,1,interm,69,501
GBRTENW,2004,1,interm,70,47
GBRTENW,2004,1,interm,71,13
GBRTENW,2004,1,interm,72,69
GBRTENW,2004,1,interm,73,102
GBRTENW,2004,1,interm,74,64
GBRTENW,2004,1,interm,75,12
GBRTENW,2004,1,interm,76,107
GBRTENW,2004,1,interm,77,101
GBRTENW,2004,1,interm,78,39
GBRTENW,2004,1,interm,79,21
GBRTENW,2004,1,interm,80,19
GBRTENW,2004,1,interm,81,22
GBRTENW,2004,1,interm,82,55
GBRTENW,2004,1,interm,83,20
GBRTENW,2004,1,interm,84,50
GBRTENW,2004,1,interm,85,12
GBRTENW,2004,1,interm,86,58
GBRTENW,2004,1,interm,87,75
GBRTENW,2004,1,interm,88,8
GBRTENW,2004,1,interm,89,0
GBRTENW,2004,1,interm,90,41
GBRTENW,2004,1,interm,91,36
GBRTENW,2004,1,interm,92,4
GBRTENW,2004,1,interm,93,86
GBRTENW,2004,1,interm,94,56
GBRTENW,2004,1,interm,95,5
GBRTENW,2004,1,interm,96,7
GBRTENW,2004,1,interm,97,4
GBRTENW,2004,1,interm,98,21
GBRTENW,2004,1,interm,99,12
GBRTENW,2004,1,interm,100,99
GBRTENW,2004,1,interm,101,3
GBRTENW,2004,1,interm,102,58
GBRTENW,2004,1,interm,103,8
GBRTENW,2004,1,interm,104,48
GBRTENW,2005,1,interm,0,9282
GBRTENW,2005,1,interm,1,27
GBRTENW,2005,1,interm,2,2
GBRTENW,2005,1,interm,3,9
GBRTENW,2005,1,interm,4,39
GBRTENW,2005,1,interm,5,6
GBRTENW,2005,1,interm,6,6
GBRTENW,2005,1,interm,7,5
GBRTENW,2005,1,interm,8,5
GBRTENW,2005,1,interm,9,3
GBRTENW,2005,1,interm,10,43
GBRTENW,2005,1,interm,11,163
