country,year,sex,list,agf,cause,total,d0,d1,d5,d10,d15,d20,d25,d30,d35,d40,d45,d50,d55,d60,d65,d70,d75,d80,d85p,d85,d90p,d90,d95p,d95,d100p
GBRTENW,2001,1,interm,3,105,2231.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.96,73.73,289.58,1858.59,587.72,1270.87,817.22,453.65,.,.
GBRTENW,2001,1,interm,3,106,129.23,0,5.8,0,0.88,1.9,5.95,8.23,2.92,4.91,3.92,2.96,5.94,0,1.99,4,9.96,14.95,14.98,39.94,15.97,23.98,11.99,11.99,.,.
GBRTENW,2001,1,interm,3,107,572.92,46.74,7.73,2.89,1.76,6.66,17.86,21.04,39.89,32.39,48.02,49.35,63.34,47.84,45.74,40.98,37.85,29.89,18.97,13.97,10.98,3,3,0,.,.
GBRTENW,2002,1,interm,3,105,2089.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.95,77.78,245.64,1755.09,518.4,1236.69,768.09,468.6,.,.
GBRTENW,2002,1,interm,3,106,124.9,0,1.91,0.99,0,5.48,3.8,7.52,5.71,8.73,5.04,3.97,2.98,8,3.98,6.95,6.97,11.97,9.99,30.93,12.96,17.97,8,9.97,.,.
GBRTENW,2002,1,interm,3,107,609.08,45.55,11.49,0,1.96,8.22,18.98,20.67,39.04,44.6,54.4,57.51,61.58,52.99,47.75,46.65,34.84,26.92,21.97,13.97,8.97,4.99,3,1.99,.,.
GBRTENW,2003,1,interm,3,105,2030.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.01,55.96,271.35,1692.39,468.94,1223.45,764.95,458.5,.,.
GBRTENW,2003,1,interm,3,106,124.09,0,0.98,0,0,5.69,5.47,7.52,5.61,4.92,3.92,0,3.99,2.98,5,4.01,10.01,9.99,10.01,43.98,19,24.99,15.96,9.03,.,.
GBRTENW,2003,1,interm,3,107,646.77,53.47,8.85,0,1.86,9.48,20.97,20.69,33.67,48.17,52.9,62.18,73.84,61.59,61.05,37.05,34.02,25.98,21.03,19.98,9,10.98,9.97,1,.,.
GBRTENW,2004,1,interm,3,105,1803.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.99,47.92,248.84,1503.94,360.96,1142.97,665.82,477.16,.,.
GBRTENW,2004,1,interm,3,106,160.83,1.98,0.95,0.98,2.04,1.86,6.38,5.38,1.95,5.75,4.93,8.81,2.97,2.99,7.98,14.96,4.98,17.97,19.99,47.99,20,27.99,19.02,8.97,.,.
GBRTENW,2004,1,interm,3,107,729.02,66.37,8.52,0.98,6.12,4.65,18.23,20.64,34.12,40.24,60.09,68.52,72.38,76.77,63.83,56.83,45.84,43.92,22.99,17.99,14,3.99,1,2.99,.,.
GBRTENW,2005,1,interm,3,105,1815.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,42.05,224.39,1540.36,404.28,1136.09,667.86,468.23,.,.
GBRTENW,2005,1,interm,3,106,166.19,1,0,0.95,0.9,2.62,6.4,8.5,9.9,3.86,1.93,8.91,5.98,3.99,4,5.99,17.01,18.02,14.02,52.2,17.05,35.14,24.07,11.08,.,.
GBRTENW,2005,1,interm,3,107,723.95,64.72,4.75,3.78,1.81,5.25,19.21,17.94,32.41,43.43,70.51,61.4,68.76,74.88,56.98,56.94,47.02,40.04,35.06,19.06,17.05,2.01,2.01,0,.,.
GBRTENW,2006,1,interm,3,105,1692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,25,181,1482,348,1134,656,478,.,.
GBRTENW,2006,1,interm,3,106,137,1,0,0,0,4,7,7,3,11,6,4,3,5,1,3,5,6,21,50,16,34,25,9,.,.
