country,year,sex,list,cause,cdr
GBRTENW,2010,1,short,0,8692
GBRTENW,2010,1,short,1,85
GBRTENW,2010,1,short,2,2733
GBRTENW,2010,1,short,3,15
GBRTENW,2010,1,short,4,120
GBRTENW,2010,1,short,5,230
GBRTENW,2010,1,short,6,315
GBRTENW,2010,1,short,7,1967
GBRTENW,2010,1,short,8,627
GBRTENW,2010,1,short,9,260
GBRTENW,2010,1,short,10,432
GBRTENW,2010,1,short,11,735
GBRTENW,2010,1,short,12,449
GBRTENW,2010,1,short,13,73
GBRTENW,2010,1,short,14,182
GBRTENW,2010,1,short,15,73
GBRTENW,2010,1,short,16,395
GBRTENW,2011,1,short,0,8495
GBRTENW,2011,1,short,1,88
GBRTENW,2011,1,short,2,2748
GBRTENW,2011,1,short,3,16
GBRTENW,2011,1,short,4,110
GBRTENW,2011,1,short,5,371
GBRTENW,2011,1,short,6,308
GBRTENW,2011,1,short,7,1797
GBRTENW,2011,1,short,8,526
GBRTENW,2011,1,short,9,224
GBRTENW,2011,1,short,10,428
GBRTENW,2011,1,short,11,748
GBRTENW,2011,1,short,12,435
GBRTENW,2011,1,short,13,71
GBRTENW,2011,1,short,14,145
GBRTENW,2011,1,short,15,75
GBRTENW,2011,1,short,16,406
GBRTENW,2012,1,short,0,8628
GBRTENW,2012,1,short,1,82
GBRTENW,2012,1,short,2,2776
GBRTENW,2012,1,short,3,15
GBRTENW,2012,1,short,4,114
GBRTENW,2012,1,short,5,428
GBRTENW,2012,1,short,6,345
GBRTENW,2012,1,short,7,1790
GBRTENW,2012,1,short,8,515
GBRTENW,2012,1,short,9,222
GBRTENW,2012,1,short,10,426
GBRTENW,2012,1,short,11,793
GBRTENW,2012,1,short,12,427
GBRTENW,2012,1,short,13,71
GBRTENW,2012,1,short,14,149
GBRTENW,2012,1,short,15,72
GBRTENW,2012,1,short,16,401
GBRTENW,2013,1,short,0,8752
GBRTENW,2013,1,short,1,87
GBRTENW,2013,1,short,2,2765
GBRTENW,2013,1,short,3,16
GBRTENW,2013,1,short,4,115
GBRTENW,2013,1,short,5,459
GBRTENW,2013,1,short,6,366
GBRTENW,2013,1,short,7,1813
GBRTENW,2013,1,short,8,509
