country,year,sex,list,agf,cause,SDR1976,SDR2013,SDR1976_0_14,SDR1976_15_39,SDR1976_40_64,SDR1976_65p,SDR2013_0_14,SDR2013_15_39,SDR2013_40_64,SDR2013_65p
POL,1959,1,interm,1,0,16258,26436,7176,2256,11937,91540,6271,2306,12471,105334
POL,1959,1,interm,1,1,45,39,151,8,10,55,131,8,11,63
POL,1959,1,interm,1,2,75,47,340,0,0,1,292,0,0,1
POL,1959,1,interm,1,3,1046,1333,71,402,1653,3283,63,421,1698,3194
POL,1959,1,interm,1,4,55,50,165,5,23,88,142,5,24,91
POL,1959,1,interm,1,5,60,58,168,10,24,112,149,10,25,117
POL,1959,1,interm,1,6,0,0,0,0,0,0,0,0,0,0
POL,1959,1,interm,1,7,6,8,3,2,6,23,3,2,7,24
POL,1959,1,interm,1,8,14,13,48,2,3,22,42,2,3,27
POL,1959,1,interm,1,9,24,35,14,5,17,122,13,5,18,132
POL,1959,1,interm,1,10,55,92,1,4,56,321,1,4,58,366
POL,1959,1,interm,1,11,88,152,0,3,81,557,0,3,86,626
POL,1959,1,interm,1,12,699,1088,2,28,804,3919,2,30,844,4078
POL,1959,1,interm,1,13,37,62,0,2,37,222,0,2,38,247
POL,1959,1,interm,1,14,38,62,0,2,38,223,0,3,39,247
POL,1959,1,interm,1,15,51,84,1,1,49,312,1,2,52,338
POL,1959,1,interm,1,16,32,46,0,2,45,153,0,2,46,154
POL,1959,1,interm,1,17,130,213,1,7,124,798,1,7,132,853
POL,1959,1,interm,1,18,27,40,0,3,28,153,0,3,29,152
POL,1959,1,interm,1,19,269,378,1,11,409,1220,1,11,431,1177
POL,1959,1,interm,1,20,15,29,0,1,8,106,0,1,9,132
POL,1959,1,interm,1,21,2,3,0,0,2,9,0,0,2,11
POL,1959,1,interm,1,22,0,0,0,0,0,0,0,0,0,0
POL,1959,1,interm,1,23,0,0,0,0,0,0,0,0,0,0
POL,1959,1,interm,1,24,0,0,0,0,0,0,0,0,0,0
POL,1959,1,interm,1,25,82,160,0,1,27,663,0,1,29,769
POL,1959,1,interm,1,26,13,23,0,1,12,78,0,1,12,96
POL,1959,1,interm,1,27,63,111,0,1,48,434,0,1,51,481
POL,1959,1,interm,1,28,37,56,2,2,44,200,2,2,46,202
POL,1959,1,interm,1,29,46,57,7,10,84,130,7,10,87,120
POL,1959,1,interm,1,30,49,58,32,21,55,154,31,20,57,144
POL,1959,1,interm,1,31,23,27,5,13,35,56,5,13,35,54
POL,1959,1,interm,1,32,2,3,0,0,2,10,0,0,2,11
POL,1959,1,interm,1,33,225,353,16,28,247,1207,16,29,257,1309
POL,1959,1,interm,1,34,138,209,14,27,160,675,14,28,165,732
POL,1959,1,interm,1,35,60,93,3,11,51,354,3,11,53,362
POL,1959,1,interm,1,36,0,0,1,0,0,1,1,0,0,0
POL,1959,1,interm,1,37,13,12,32,1,10,19,28,1,11,20
POL,1959,1,interm,1,38,40,61,19,8,38,191,17,9,40,217
POL,1959,1,interm,1,39,38,82,0,0,7,321,0,0,8,406
POL,1959,1,interm,1,40,0,0,0,0,0,0,0,0,0,0
POL,1959,1,interm,1,41,0,0,0,0,0,1,0,0,0,1
POL,1959,1,interm,1,42,33,69,0,0,4,285,0,0,5,346
POL,1959,1,interm,1,43,24,39,4,3,20,139,3,3,21,158
