country,year,sex,list,agf,cause,SDR1976,SDR2013,SDR1976_0_14,SDR1976_15_39,SDR1976_40_64,SDR1976_65p,SDR2013_0_14,SDR2013_15_39,SDR2013_40_64,SDR2013_65p
JPN,1995,1,interm,3,0,8086,14725,595,798,5675,53277,540,813,5931,63588
JPN,1995,1,interm,3,1,1,2,0,0,1,7,0,0,1,8
JPN,1995,1,interm,3,2,7,15,2,1,3,54,2,1,3,69
JPN,1995,1,interm,3,3,58,109,0,2,34,425,0,2,36,492
JPN,1995,1,interm,3,4,38,68,9,2,21,254,8,2,23,303
JPN,1995,1,interm,3,5,7,13,1,0,3,49,1,0,4,59
JPN,1995,1,interm,3,6,1,1,0,1,1,0,0,1,1,0
JPN,1995,1,interm,3,7,44,62,1,4,70,179,1,4,73,187
JPN,1995,1,interm,3,8,4,5,5,2,2,13,5,2,2,16
JPN,1995,1,interm,3,9,10,19,0,1,6,73,0,1,6,85
JPN,1995,1,interm,3,10,45,69,0,3,58,233,0,3,60,245
JPN,1995,1,interm,3,11,109,169,0,1,132,601,0,1,139,627
JPN,1995,1,interm,3,12,494,842,0,18,451,3118,0,19,475,3473
JPN,1995,1,interm,3,13,163,282,0,6,142,1047,0,7,150,1179
JPN,1995,1,interm,3,14,107,172,0,4,125,596,0,4,131,650
JPN,1995,1,interm,3,15,339,503,1,7,470,1684,1,7,502,1703
JPN,1995,1,interm,3,16,136,226,0,3,137,833,0,3,144,905
JPN,1995,1,interm,3,17,112,201,0,2,77,786,0,2,81,890
JPN,1995,1,interm,3,18,14,24,0,0,10,95,0,0,10,107
JPN,1995,1,interm,3,19,509,891,0,8,357,3560,0,9,379,3902
JPN,1995,1,interm,3,20,7,13,0,1,7,46,0,1,7,55
JPN,1995,1,interm,3,21,1,2,0,0,1,7,0,0,1,8
JPN,1995,1,interm,3,22,0,0,0,0,0,0,0,0,0,0
JPN,1995,1,interm,3,23,0,0,0,0,0,0,0,0,0,0
JPN,1995,1,interm,3,24,0,0,0,0,0,0,0,0,0,0
JPN,1995,1,interm,3,25,90,187,0,0,21,756,0,0,23,920
JPN,1995,1,interm,3,26,3,5,0,3,2,13,0,3,2,15
JPN,1995,1,interm,3,27,44,88,0,0,19,344,0,0,20,415
JPN,1995,1,interm,3,28,40,66,1,1,39,246,1,1,41,267
JPN,1995,1,interm,3,29,14,18,5,6,17,45,5,6,18,45
JPN,1995,1,interm,3,30,57,83,13,21,61,249,14,21,63,270
JPN,1995,1,interm,3,31,81,133,3,9,78,477,3,10,81,525
JPN,1995,1,interm,3,32,4,7,0,0,4,26,0,0,4,30
JPN,1995,1,interm,3,33,83,136,9,13,74,477,9,13,77,538
JPN,1995,1,interm,3,34,64,113,7,9,46,406,7,10,49,473
JPN,1995,1,interm,3,35,111,192,0,6,104,687,0,6,109,789
JPN,1995,1,interm,3,36,10,19,0,1,8,63,0,1,9,80
JPN,1995,1,interm,3,37,32,63,7,4,17,218,7,4,17,279
JPN,1995,1,interm,3,38,31,57,4,4,18,206,4,4,19,250
JPN,1995,1,interm,3,39,19,45,0,0,1,170,0,0,1,228
JPN,1995,1,interm,3,40,8,9,0,3,17,12,0,3,17,11
JPN,1995,1,interm,3,41,0,0,0,0,0,0,0,0,0,0
JPN,1995,1,interm,3,42,3,5,0,1,4,14,0,1,4,15
JPN,1995,1,interm,3,43,11,17,2,1,14,56,1,1,15,57
JPN,1995,1,interm,3,44,20,39,0,1,7,156,0,1,7,185
JPN,1995,1,interm,3,45,8,13,0,0,8,48,0,0,8,51
JPN,1995,1,interm,3,46,6,7,2,6,6,11,2,6,6,13
